t,d1,d2,d3
0.000,0.057,0.072,0.071
0.002,0.057,0.072,0.071
0.003,0.057,0.072,0.071
0.005,0.057,0.072,0.071
0.007,0.057,0.072,0.071
0.008,0.057,0.072,0.071
0.010,0.057,0.072,0.071
0.012,0.057,0.072,0.071
0.013,0.057,0.072,0.071
0.015,0.057,0.072,0.071
0.017,0.057,0.072,0.071
0.018,0.057,0.072,0.071
0.020,0.057,0.072,0.071
0.022,0.057,0.072,0.071
0.023,0.057,0.072,0.071
0.025,0.057,0.072,0.071
0.027,0.057,0.072,0.071
0.028,0.057,0.072,0.071
0.030,0.057,0.072,0.071
0.032,0.057,0.072,0.071
0.033,0.057,0.072,0.071
0.035,0.057,0.072,0.071
0.037,0.057,0.072,0.071
0.038,0.057,0.072,0.071
0.040,0.057,0.072,0.071
0.042,0.057,0.072,0.071
0.043,0.057,0.072,0.071
0.045,0.057,0.072,0.071
0.047,0.057,0.072,0.071
0.048,0.057,0.072,0.071
0.050,0.057,0.072,0.071
0.052,0.057,0.072,0.071
0.053,0.057,0.072,0.071
0.055,0.057,0.072,0.071
0.057,0.057,0.072,0.071
0.058,0.057,0.072,0.071
0.060,0.057,0.072,0.071
0.062,0.057,0.072,0.071
0.063,0.057,0.072,0.071
0.065,0.057,0.072,0.071
0.067,0.057,0.072,0.071
0.068,0.057,0.072,0.071
0.070,0.057,0.072,0.071
0.072,0.057,0.072,0.071
0.073,0.057,0.072,0.071
0.075,0.057,0.072,0.071
0.077,0.057,0.072,0.071
0.078,0.057,0.072,0.071
0.080,0.057,0.072,0.071
0.082,0.057,0.072,0.071
0.083,0.057,0.072,0.071
0.085,-0.001,-0.004,-0.008
0.087,-0.008,-0.010,-0.013
0.088,-0.014,-0.017,-0.020
0.090,-0.021,-0.026,-0.029
0.092,-0.029,-0.034,-0.034
0.093,-0.035,-0.041,-0.040
0.095,-0.037,-0.042,-0.040
0.097,-0.032,-0.039,-0.041
0.098,-0.031,-0.038,-0.043
0.100,-0.033,-0.036,-0.045
0.102,-0.035,-0.034,-0.047
0.103,-0.036,-0.031,-0.046
0.105,-0.038,-0.032,-0.048
0.107,-0.045,-0.037,-0.051
0.108,-0.048,-0.040,-0.054
0.110,-0.047,-0.042,-0.053
0.112,-0.044,-0.045,-0.051
0.113,-0.044,-0.046,-0.051
0.115,-0.041,-0.044,-0.051
0.117,-0.034,-0.038,-0.047
0.118,-0.028,-0.031,-0.042
0.120,-0.025,-0.022,-0.038
0.122,-0.022,-0.012,-0.033
0.123,-0.018,-0.004,-0.026
0.125,-0.016,0.004,-0.015
0.127,-0.015,0.009,-0.006
0.128,-0.016,0.013,0.002
0.130,-0.014,0.018,0.010
0.132,-0.008,0.021,0.016
0.133,-0.002,0.024,0.016
0.135,0.002,0.023,0.011
0.137,0.003,0.018,0.005
0.138,0.003,0.011,-0.001
0.140,0.002,0.002,-0.008
0.142,-0.001,-0.008,-0.009
0.143,-0.004,-0.015,-0.005
0.145,-0.004,-0.017,0.001
0.147,-0.004,-0.017,0.004
0.148,-0.004,-0.019,0.006
0.150,-0.007,-0.019,0.003
0.152,-0.010,-0.020,-0.005
0.153,-0.014,-0.025,-0.017
0.155,-0.021,-0.034,-0.030
0.157,-0.027,-0.042,-0.040
0.158,-0.031,-0.049,-0.050
0.160,-0.038,-0.053,-0.058
0.162,-0.044,-0.054,-0.060
0.163,-0.045,-0.054,-0.059
0.165,-0.042,-0.052,-0.058
0.167,-0.041,-0.050,-0.054
0.168,-0.038,-0.043,-0.048
0.170,-0.033,-0.037,-0.038
0.172,-0.030,-0.033,-0.034
0.173,-0.028,-0.030,-0.035
0.175,-0.029,-0.028,-0.042
0.177,-0.031,-0.031,-0.054
0.178,-0.033,-0.040,-0.063
0.180,-0.037,-0.050,-0.072
0.182,-0.041,-0.059,-0.083
0.183,-0.050,-0.068,-0.089
0.185,-0.056,-0.075,-0.087
0.187,-0.062,-0.078,-0.082
0.188,-0.066,-0.079,-0.081
0.190,-0.068,-0.078,-0.081
0.192,-0.068,-0.076,-0.079
0.193,-0.063,-0.071,-0.072
0.195,-0.057,-0.064,-0.066
0.197,-0.052,-0.061,-0.063
0.198,-0.051,-0.062,-0.068
0.200,-0.052,-0.065,-0.073
0.202,-0.055,-0.070,-0.073
0.203,-0.057,-0.076,-0.072
0.205,-0.061,-0.083,-0.075
0.207,-0.062,-0.085,-0.074
0.208,-0.064,-0.083,-0.070
0.210,-0.065,-0.081,-0.072
0.212,-0.065,-0.082,-0.075
0.213,-0.065,-0.080,-0.077
0.215,-0.066,-0.078,-0.079
0.217,-0.072,-0.078,-0.081
0.218,-0.073,-0.079,-0.080
0.220,-0.072,-0.076,-0.077
0.222,-0.072,-0.076,-0.077
0.223,-0.074,-0.082,-0.087
0.225,-0.079,-0.090,-0.100
0.227,-0.081,-0.100,-0.113
0.228,-0.087,-0.114,-0.126
0.230,-0.098,-0.135,-0.139
0.232,-0.110,-0.154,-0.152
0.233,-0.121,-0.165,-0.160
0.235,-0.128,-0.172,-0.166
0.237,-0.129,-0.175,-0.166
0.238,-0.125,-0.171,-0.164
0.240,-0.116,-0.159,-0.155
0.242,-0.106,-0.144,-0.141
0.243,-0.091,-0.125,-0.123
0.245,-0.072,-0.106,-0.103
0.247,-0.054,-0.087,-0.083
0.248,-0.036,-0.067,-0.061
0.250,-0.022,-0.048,-0.042
0.252,-0.010,-0.031,-0.030
0.253,-0.003,-0.021,-0.022
0.255,-0.001,-0.017,-0.017
0.257,-0.006,-0.015,-0.015
0.258,-0.012,-0.017,-0.019
0.260,-0.015,-0.020,-0.023
0.262,-0.016,-0.022,-0.027
0.263,-0.019,-0.027,-0.031
0.265,-0.016,-0.033,-0.036
0.267,-0.015,-0.041,-0.039
0.268,-0.018,-0.047,-0.042
0.270,-0.025,-0.054,-0.048
0.272,-0.032,-0.062,-0.055
0.273,-0.036,-0.066,-0.060
0.275,-0.041,-0.066,-0.064
0.277,-0.044,-0.064,-0.070
0.278,-0.043,-0.063,-0.075
0.280,-0.041,-0.063,-0.080
0.282,-0.040,-0.059,-0.077
0.283,-0.042,-0.055,-0.073
0.285,-0.041,-0.053,-0.070
0.287,-0.041,-0.051,-0.065
0.288,-0.041,-0.051,-0.061
0.290,-0.038,-0.049,-0.056
0.292,-0.033,-0.048,-0.055
0.293,-0.030,-0.050,-0.056
0.295,-0.035,-0.053,-0.056
0.297,-0.039,-0.053,-0.054
0.298,-0.037,-0.049,-0.049
0.300,-0.033,-0.044,-0.042
0.302,-0.031,-0.041,-0.038
0.303,-0.024,-0.037,-0.034
0.305,-0.015,-0.028,-0.031
0.307,-0.007,-0.021,-0.031
0.308,-0.006,-0.017,-0.031
0.310,-0.007,-0.012,-0.028
0.312,-0.006,-0.004,-0.019
0.313,-0.001,0.005,-0.006
