t,d1,d2,d3
0.000,0.051,0.093,0.065
0.002,0.051,0.093,0.065
0.003,0.051,0.093,0.065
0.005,0.051,0.093,0.065
0.007,0.051,0.093,0.065
0.008,0.051,0.093,0.065
0.010,0.051,0.093,0.065
0.012,0.051,0.093,0.065
0.013,0.051,0.093,0.065
0.015,0.051,0.093,0.065
0.017,0.051,0.093,0.065
0.018,0.051,0.093,0.065
0.020,0.051,0.093,0.065
0.022,0.051,0.093,0.065
0.023,0.051,0.093,0.065
0.025,0.051,0.093,0.065
0.027,0.051,0.093,0.065
0.028,0.051,0.093,0.065
0.030,0.051,0.093,0.065
0.032,0.051,0.093,0.065
0.033,0.051,0.093,0.065
0.035,0.051,0.093,0.065
0.037,0.051,0.093,0.065
0.038,0.051,0.093,0.065
0.040,0.051,0.093,0.065
0.042,0.051,0.093,0.065
0.043,0.051,0.093,0.065
0.045,0.051,0.093,0.065
0.047,0.051,0.093,0.065
0.048,0.051,0.093,0.065
0.050,0.051,0.093,0.065
0.052,0.051,0.093,0.065
0.053,0.051,0.093,0.065
0.055,0.051,0.093,0.065
0.057,0.051,0.093,0.065
0.058,0.051,0.093,0.065
0.060,0.051,0.093,0.065
0.062,0.051,0.093,0.065
0.063,0.051,0.093,0.065
0.065,0.051,0.093,0.065
0.067,0.051,0.093,0.065
0.068,0.051,0.093,0.065
0.070,0.051,0.093,0.065
0.072,0.051,0.093,0.065
0.073,0.051,0.093,0.065
0.075,0.051,0.093,0.065
0.077,0.051,0.093,0.065
0.078,0.051,0.093,0.065
0.080,0.051,0.093,0.065
0.082,0.004,0.093,0.065
0.083,-0.001,0.093,0.065
0.085,-0.010,0.093,0.065
0.087,-0.021,0.093,0.065
0.088,-0.033,0.093,0.065
0.090,-0.044,-0.004,0.003
0.092,-0.057,-0.009,-0.001
0.093,-0.069,-0.017,-0.013
0.095,-0.077,-0.025,-0.027
0.097,-0.078,-0.035,-0.038
0.098,-0.075,-0.046,-0.051
0.100,-0.073,-0.055,-0.061
0.102,-0.070,-0.062,-0.068
0.103,-0.065,-0.069,-0.071
0.105,-0.061,-0.074,-0.067
0.107,-0.059,-0.075,-0.060
0.108,-0.059,-0.072,-0.056
0.110,-0.060,-0.069,-0.052
0.112,-0.059,-0.065,-0.049
0.113,-0.057,-0.061,-0.043
0.115,-0.051,-0.058,-0.041
0.117,-0.042,-0.054,-0.043
0.118,-0.029,-0.051,-0.044
0.120,-0.013,-0.049,-0.042
0.122,0.000,-0.043,-0.037
0.123,0.012,-0.034,-0.031
0.125,0.021,-0.025,-0.024
0.127,0.025,-0.013,-0.012
0.128,0.026,0.000,0.002
0.130,0.027,0.015,0.015
0.132,0.031,0.026,0.025
0.133,0.031,0.036,0.035
0.135,0.028,0.045,0.042
0.137,0.027,0.051,0.045
0.138,0.025,0.053,0.048
0.140,0.025,0.056,0.051
0.142,0.027,0.058,0.056
0.143,0.028,0.057,0.055
0.145,0.026,0.055,0.053
0.147,0.021,0.053,0.053
0.148,0.016,0.051,0.053
