t,d1,d2,d3
0.000,-0.010,-0.120,-0.092
0.002,-0.010,-0.120,-0.092
0.003,-0.010,-0.120,-0.092
0.005,-0.010,-0.120,-0.092
0.007,-0.010,-0.120,-0.092
0.008,-0.010,-0.120,-0.092
0.010,-0.010,-0.120,-0.092
0.012,-0.010,-0.120,-0.092
0.013,-0.010,-0.120,-0.092
0.015,-0.010,-0.120,-0.092
0.017,-0.010,-0.120,-0.092
0.018,-0.010,-0.120,-0.092
0.020,-0.010,-0.120,-0.092
0.022,-0.010,-0.120,-0.092
0.023,-0.010,-0.120,-0.092
0.025,-0.010,-0.120,-0.092
0.027,-0.010,-0.120,-0.092
0.028,-0.010,-0.120,-0.092
0.030,-0.010,-0.120,-0.092
0.032,-0.010,-0.120,-0.092
0.033,-0.010,-0.120,-0.092
0.035,-0.010,-0.120,-0.092
0.037,-0.010,-0.120,-0.092
0.038,-0.010,-0.120,-0.092
0.040,-0.010,-0.120,-0.092
0.042,-0.010,-0.120,-0.092
0.043,-0.010,-0.120,-0.092
0.045,-0.010,-0.120,-0.092
0.047,-0.010,-0.120,-0.092
0.048,-0.010,-0.120,-0.092
0.050,-0.010,-0.120,-0.092
0.052,-0.010,-0.120,-0.092
0.053,-0.010,-0.120,-0.092
0.055,-0.010,-0.120,-0.092
0.057,-0.010,-0.120,-0.092
0.058,-0.010,-0.120,-0.092
0.060,-0.010,-0.120,-0.092
0.062,-0.010,-0.120,-0.092
0.063,-0.010,-0.120,-0.092
0.065,-0.010,-0.120,-0.092
0.067,-0.010,-0.120,-0.092
0.068,-0.010,-0.120,-0.092
0.070,-0.010,-0.120,-0.092
0.072,-0.010,-0.120,-0.092
0.073,-0.010,-0.120,-0.092
0.075,-0.010,-0.120,-0.092
0.077,-0.010,-0.120,-0.092
0.078,-0.010,-0.120,-0.092
0.080,-0.010,-0.120,-0.092
0.082,-0.010,-0.120,-0.092
0.083,-0.010,-0.120,-0.092
0.085,-0.010,-0.120,-0.092
0.087,-0.010,-0.120,-0.092
0.088,-0.010,-0.120,-0.092
0.090,-0.010,-0.120,-0.092
0.092,-0.010,-0.120,-0.092
0.093,-0.010,-0.120,-0.092
0.095,-0.010,-0.120,-0.092
0.097,-0.010,-0.120,-0.092
0.098,-0.010,-0.120,-0.092
0.100,-0.010,-0.120,-0.092
0.102,-0.011,-0.120,-0.092
0.103,-0.011,-0.120,-0.092
0.105,-0.014,-0.120,-0.092
0.107,-0.017,-0.008,-0.006
0.108,-0.019,-0.011,-0.008
0.110,-0.016,-0.011,-0.009
0.112,-0.015,-0.010,-0.005
0.113,-0.020,-0.010,0.001
0.115,-0.029,-0.011,0.002
0.117,-0.033,-0.015,-0.004
0.118,-0.033,-0.020,-0.013
0.120,-0.034,-0.030,-0.022
0.122,-0.033,-0.041,-0.034
0.123,-0.028,-0.051,-0.046
0.125,-0.020,-0.058,-0.054
0.127,-0.011,-0.060,-0.053
0.128,-0.003,-0.055,-0.045
0.130,0.007,-0.045,-0.034
0.132,0.012,-0.033,-0.022
0.133,0.012,-0.019,-0.010
0.135,0.011,-0.004,0.002
0.137,0.013,0.009,0.012
0.138,0.015,0.017,0.019
0.140,0.014,0.020,0.021
0.142,0.010,0.020,0.022
0.143,0.011,0.021,0.026
0.145,0.017,0.023,0.030
0.147,0.017,0.024,0.031
0.148,0.017,0.025,0.032
0.150,0.021,0.025,0.031
0.152,0.031,0.028,0.032
0.153,0.035,0.028,0.032
0.155,0.036,0.028,0.031
0.157,0.041,0.033,0.032
0.158,0.049,0.041,0.033
0.160,0.052,0.049,0.039
0.162,0.051,0.052,0.046
0.163,0.050,0.059,0.051
0.165,0.049,0.066,0.057
0.167,0.044,0.068,0.058
0.168,0.037,0.062,0.061
0.170,0.034,0.057,0.061
0.172,0.034,0.055,0.059
0.173,0.038,0.054,0.056
0.175,0.041,0.050,0.054
0.177,0.042,0.046,0.057
0.178,0.044,0.047,0.057
0.180,0.044,0.050,0.055
0.182,0.040,0.051,0.056
0.183,0.032,0.047,0.058
0.185,0.025,0.043,0.060
0.187,0.021,0.041,0.058
0.188,0.020,0.036,0.056
0.190,0.017,0.031,0.055
0.192,0.014,0.026,0.052
0.193,0.011,0.021,0.045
0.195,0.010,0.019,0.041
0.197,0.008,0.020,0.040
0.198,0.006,0.020,0.041
0.200,0.008,0.019,0.040
0.202,0.012,0.019,0.039
0.203,0.021,0.023,0.043
0.205,0.030,0.026,0.043
0.207,0.038,0.028,0.039
0.208,0.042,0.034,0.037
0.210,0.045,0.043,0.040
0.212,0.047,0.049,0.041
0.213,0.044,0.055,0.039
0.215,0.039,0.060,0.042
0.217,0.032,0.064,0.046
0.218,0.028,0.064,0.046
0.220,0.023,0.064,0.048
0.222,0.019,0.063,0.051
0.223,0.015,0.058,0.053
0.225,0.010,0.053,0.051
0.227,0.005,0.047,0.047
0.228,0.002,0.040,0.043
0.230,-0.002,0.028,0.036
0.232,-0.005,0.018,0.029
0.233,-0.005,0.012,0.023
0.235,0.000,0.004,0.018
0.237,0.006,-0.003,0.012
0.238,0.007,-0.007,0.005
0.240,0.009,-0.008,0.000
0.242,0.013,-0.006,-0.001
